"dept.inc","Year","agec","J12_J18_prim","acm_noj_prim","E40_E46_prim","R95_R99_prim","J12_J18_any","R00_R09_prim","G90_G99_prim","N00_N99_prim","P00_P96_prim","A00_B99_prim","Q00_Q99_prim","all.deaths"
"03.low",2011,0,1,31,0,1,2,0,2,0,12,3,4,38
"03.med",2011,0,0,9,0,0,0,0,1,0,1,0,1,11
"04.high",2011,0,12,146,0,0,14,0,4,3,64,0,34,164
"04.low",2011,0,1,4,0,0,1,0,0,0,2,0,0,5
"04.med",2011,0,0,8,0,0,0,0,0,0,1,0,2,8
"05.low",2011,0,3,29,0,0,3,0,1,0,13,0,1,34
"05.med",2011,0,4,50,1,0,5,0,0,0,29,3,1,59
"06.low",2011,0,5,31,0,0,7,2,0,0,16,4,2,40
"06.med",2011,0,1,52,0,0,2,0,0,0,33,1,3,58
"07.high",2011,0,2,91,0,0,5,0,2,0,45,2,29,98
"08.high",2011,0,0,17,0,0,1,0,0,1,12,1,1,23
"08.low",2011,0,2,35,0,0,5,6,1,1,7,1,4,45
"08.med",2011,0,1,80,0,0,4,6,1,0,32,2,5,89
"09.low",2011,0,2,42,1,0,3,0,1,0,23,0,3,48
"09.med",2011,0,0,16,0,0,1,0,0,0,11,0,3,20
"10.high",2011,0,0,22,0,0,0,0,1,0,15,0,3,23
"10.low",2011,0,3,56,0,0,3,0,0,0,28,2,2,62
"10.med",2011,0,3,29,0,1,5,0,2,0,10,3,3,35
"11.high",2011,0,9,117,2,1,13,0,0,2,75,2,16,130
"12.high",2011,0,6,98,1,0,12,0,2,1,62,3,13,121
"12.low",2011,0,1,5,1,0,1,0,0,0,3,0,0,6
"12.med",2011,0,5,74,0,3,8,0,4,1,36,1,7,84
"13.high",2011,0,4,93,1,1,4,0,2,0,57,1,18,98
"13.low",2011,0,5,43,0,1,5,0,1,1,15,3,4,48
"13.med",2011,0,11,71,0,0,11,0,0,0,35,3,13,84
"14.high",2011,0,3,114,0,0,6,0,1,2,77,1,17,122
"14.low",2011,0,1,4,0,0,2,0,0,0,2,0,1,7
"14.med",2011,0,9,83,1,0,10,0,7,0,43,2,7,94
